Symbol,Name,Fund Provider,Dividend Yield,Tax Treatment Grade,Expense Ratio,AUM ,Total Return,Price Decay,Inception Date,Payout Frequency,Rating
YBIT,YieldMax Bitcoin Option Income Strategy ETF,YieldMax,76%,B,0.99%,45M,-13%,YES,4/22/2024,Weekly,C-
PLTY,YieldMax PLTR Option Income Strategy ETF,YieldMax,40%,B,0.99%,393M,178%,YES,10/7/2024,Weekly,F
NVDY,YieldMax NVDA Option Income Strategy ETF,YieldMax,40%,B,0.99%,1390M,340%,YES,5/10/2023,Weekly,C
AMDY,YieldMax AMD Option Income Strategy ETF,YieldMax,46%,B,0.99%,374M,212%,YES,9/18/2023,Weekly,F
SNOY,YieldMax SNOW Option Income Strategy ETF,YieldMax,61%,B,0.99%,67M,135%,YES,6/10/2024,Weekly,C-
YMAX,YieldMax Universe Fund of Option Income ETFs,YieldMax,40%,B,1.28%,378M,40%,YES,1/16/2024,weekly,C-
PYPY,YieldMax PYPL Option Income Strategy ETF,YieldMax,30%,B,0.99%,22M,-2%,YES,9/25/2023,weekly,C
AMZY,YieldMax AMZN Option Income Strategy ETF,YieldMax,25%,B,0.99%,233M,87%,YES,6/24/2023,weekly,F
GOOY,YieldMax GOOGL Option Income Strategy ETF,YieldMax,23%,B,0.99%,226M,84%,YES,6/27/2023,weekly,B-
BABO,YieldMax BABA Option Income Strategy ETF,YieldMax,36%,B,0.99%,25M,14%,YES,8/7/2024,weekly,C-
OARK,YieldMax Innovation Option Income Strategy ETF,YieldMax,36%,B,1.00%,47M,55%,YES,11/22/2022,weekly,D
HOOY,YieldMax HOOD Option Income Strategy ETF,YieldMax,101%,B,0.99%,118M,81%,YES,5/7/2025,weekly,A-
LFGY,YieldMax Crypto Industry & Tech Portfolio Option Income ETF,YieldMax,45%,B,1.02%,88M,-7%,YES,1/13/2025,weekly,D
CHPY,YieldMax Semiconductor Portfolio Option Income ETF,YieldMax,40%,B,1.03%,1150M,153%,NO,4/2/2025,weekly,B+
YMAG,YieldMax Magnificent 7 Fund of Option Income ETFs,YieldMax,34%,B,1.12%,295M,69%,YES,1/29/2024,weekly,F
FBY,YieldMax META Option Income Strategy ETF,YieldMax,36%,B,0.99%,88M,63%,YES,7/27/2023,weekly,C
SOXY,YieldMax® Target 12™ Semiconductor Option Income ETF,YieldMax,12%,B,1.06%,63M,113%,NO,12/2/2024,Monthly,B+
IWMY,Defiance R2000 Enhanced Options & 0DTE Income ETF,Defiance,30.0%,B,1.05%,95M,42%,YES,10/30/2023,Monthly,C-
QQQY,Definance Nasdaq 100 Enhanced Options & 0DTE Income ETF,Defiance,30.0%,B,1.01%,187M,53%,YES,9/14/2023,Monthly,C+
SPYI,NEOS S&P 500 High Income ETF,NEOS,12.04%,B,0.68%,11680M,77%,NO,8/30/2022,Monthly,A-
QQQI,NEOS Nasdaq 100 High Income ETF,NEOS,14.0%,B,0.68%,14100M,58%,NO,1/20/2024,Monthly,A-
BTCI,NEOS Bitcoin High Income ETF,NEOS,26.7%,B,0.98%,1280M,13%,YES,10/17/2024,Monthly,C-
CSHI,NEOS Enhanced Income 1-3 Month T-Bill ETF,NEOS,4.7%,B,0.38%,1740M,24%,NO,8/30/2022,Monthly,A-
QQQH,NEOS Nasdaq 100 Hedged Equity Income ETF,NEOS,9.2%,B,0.68%,378M,23%,NO,12/19/2019,Monthly,A-
IWMI,NEOS Russell 2000 High Income ETF,NEOS,14.4%,B,0.68%,1220M,42%,YES,6/25/2024,Monthly,B+
IYRI,NEOS Real Estate High Income ETF,NEOS,10.9%,C,0.68%,312M,14%,YES,1/14/2025,Monthly,F
IAUI,NEOS Gold High Income ETF,NEOS,11.8%,B,0.78%,583M,18%,NO,6/5/2025,Monthly,B+
BNDI,NEOS Enhanced Income Aggregate Bond ETF,NEOS,5.7%,B,0.58%,192M,14%,YES,8/30/2022,Monthly,A-
SPYH,NEOS S&P 500 Hedged Equity Income ETF,NEOS,7.9%,B,0.68%,43M,31%,NO,4/2/2025,Monthly,B
NIHI,NEOS MSCI EAFE High Income ETF,NEOS,9.9%,B,0.68%,197M,16%,NO,9/17/2025,Monthly,C
MLPI,MLP & Energy Infrastructure High Income ETF,NEOS,14.8%,B,0.68%,934M,21%,NO,12/17/2025,Monthly,B+
XSPI,NEOS Boosted S&P 500 High Income ETF,NEOS,17.0%,B,0.98%,113M,11%,NO,1/29/2026,Monthly,C
XQQI,NEOS Boosted Nasdaq-100 High Income ETF,NEOS,21.0%,B,0.98%,314M,13%,NO,1/29/2026,Monthly,B
XBCI,NEOS Boosted Bitcoin High Income ETF,NEOS,41%,B,0.98%,158M,0%,YES,2/3/2026,Monthly,C
DIVO,Amplify CWP Enhanced Dividend Income ETF,Amplify,4.8%,B,0.56%,7910M,222%,NO,12/14/2016,Monthly,A
YYY,Amplify High Income ETF,Amplify,12.2%,B,0.50%,735M,86%,YES,6/12/2013,Monthly,B-
IDVO,Amplify CWP International Enhanced Dividend Income ETF,Amplify,6.0%,B,0.65%,1430M,115%,NO,9/8/2022,Monthly,A-
QDVO,Amplify CWP Growth & Income ETF,Amplify,10.0%,B,0.56%,744M,47%,NO,8/22/2024,Monthly,B
GPIX,Goldman Sachs S&P 500 Premium Income ETF,Goldman Sachs,7.9%,B,0.29%,5500M,80%,NO,10/24/23,Monthly,A-
SCHD,Schwab U.S. Dividend Equity ETF,Schwab,3.0%,A,0.06%,112170M,558%,NO,10/20/2011,Quarterly,A+
DGRO,iShares Core Dividend Growth ETF,iShares,2.0%,A,0.08%,43580M,319%,NO,6/10/2014,Quarterly,A+
DGRW,WisdomTree U.S. Quality Dividend Growth Fund,WisdomTree,1.5%,B,0.28%,17720M,413%,NO,5/22/2013,Monthly,A+
VIG,Vanguard Dividend Appreciation ETF,Vanguard,1.6%,A,0.04%,123940M,613%,NO,4/21/2006,Quarterly,A+
VYM,Vanguard High Dividend Yield ETF,Vanguard,2.5%,A,0.04%,82330M,485%,NO,11/10/2006,Quarterly,A+
SPHD,Invesco S&P 500 High Dividend Low Volatility ETF,Invesco,3.6%,B,0.30%,3429M,251%,NO,10/18/2012,Monthly,A
FDVV,Fidelity High Dividend ETF,Fidelity,2.8%,A,0.15%,10370M,255%,NO,9/12/2016,Quarterly,A
BATT,Amplify Lithium & Battery Technology ETF,Amplify,2.2%,A,0.59%,128M,-12%,NO,6/6/2018,Annual,B+
COWS,Amplify Cash Flow Dividend Leaders ETF,Amplify,3.1%,A,0.39%,42M,65%,NO,9/13/2023,Monthly,B+
BITY,Amplify Bitcoin 2% Monthly Option Income ETF,Amplify,24.0%,B,0.65%,12M,-22%,YES,4/29/2025,Monthly,B
BAGY,Amplify Bitcoin Max Income Covered Call ETF,Amplify,37.0%,B,0.65%,12M,-23%,YES,4/29/2025,Monthly,B-
HCOW,Amplify COWS Covered Call ETF,Amplify,12.2%,A,0.65%,18M,36%,YES,9/20/2023,Monthly,B-
QDTE,Roundhill Innovation-100 0DTE Covered Call Strategy ETF,Roundhill,25.0%,B,0.97%,945M,57%,YES,3/7/2024,Weekly,B+
XDTE,Roundhill S&P 500 0DTE Covered Call Strategy ETF,Roundhill,18.0%,B,0.97%,338M,45%,YES,3/7/2024,Weekly,B+
YBTC,Roundhill Bitcoin Covered Call Strategy ETF,Roundhill,20.0%,B,0.96%,139M,25%,YES,1/18/2024,Weekly,B-
PLTW,Roundhill PLTR WeeklyPay ETF,Roundhill,40.0%,B,0.99%,136M,43%,YES,2/19/2025,Weekly,B-
YETH,Roundhill Ether Covered Call Strategy ETF,Roundhill,31.0%,B,0.96%,62M,-33%,YES,9/3/2024,Weekly,D
COIW,Roundhill COIN WeeklyPay ETF,Roundhill,86.0%,B,0.99%,41M,-42%,YES,2/19/2025,Weekly,D
RDTE,Roundhill Russell 2000 0DTE Covered Call Strategy ETF,Roundhill,29.0%,B,0.97%,184M,40%,YES,9/10/2024,Weekly,B-
WEEK,Roundhill Weekly T-Bill ETF,Roundhill,3.5%,B,0.19%,183M,6%,NO,3/6/2025,Weekly,A
MAGY,Roundhill Magnificent Seven Covered Call ETF,Roundhill,20.0%,B,0.99%,105M,25%,YES,4/23/2025,Weekly,B+
TSLW,Roundhill TSLA WeeklyPay ETF,Roundhill,45.0%,B,0.99%,1M,-12%,YES,2/19/2025,Weekly,C+
GOOW,Roundhill GOOGL WeeklyPay ETF,Roundhill,27.0%,B,0.99%,77M,91%,NO,7/24/2025,Weekly,B
TOPW,Roundhill Top Weeklypay ETF,Roundhill,39.0%,B,0.99%,145M,2%,YES,9/4/2025,Weekly,C+
ACKY,VistaShares Target 15 ACKtivist Distribution ETF,VistaShares,15.0%,B,0.95%,46M,1%,YES,9/9/2025,Monthly,B
OMAH,VistaShares Target 15 Berkshire Select Income ETF,VistaShares,15.0%,B,0.95%,1131M,11%,YES,3/5/2025,Monthly,B
DRKY,VistaShares Target 15™ DRUKMacro Distribution ETF,VistaShares,15.0%,B,0.95%,18M,23%,NO,10/8/2025,Monthly,B
QUSA,VistaShares Target 15™ USA Quality Income ETF,VistaShares,15.0%,B,0.95%,22M,9%,YES,5/6/2025,Monthly,B
SIOO,VistaShares Target 15™ S&P 100 Distribution ETF,VistaShares,15.0%,B,0.95%,20M,11%,NO,12/11/2025,Monthly,B-
XYLD,Global X S&P 500 Covered Call ETF,Global X,11.0%,B,0.60%,3360M,103%,YES,6/24/2013,Monthly,B
HDV,iShares Core High Dividend ETF,iShares,3.3%,B,0.08%,15589M,396%,NO,3/29/2011,Quarterly,A+
DVY,iShares Select Dividend ETF,iShares,3.3%,B,0.38%,23090M,622%,NO,11/3/2003,Quarterly,A+
SDY,SPDR S&P Dividend ETF,State Street,2.6%,A,0.35%,22100M,492%,NO,11/8/2005,Quarterly,A+
BALI,iShares US Large Cap Premium Income Active ETF,iShares,7.0%,B,0.35%,1320M,76%,NO,9/26/2023,Monthly,A-
NOBL,ProShares S&P 500 Dividend Aristocrats ETF,ProShares,2.1%,B,0.35%,11444M,261%,NO,10/9/2013,Quarterly,A+
IDV,iShares International Select Dividend ETF,iShares,4.8%,B,0.50%,8630M,158%,NO,6/11/2007,Quarterly,A
VYMI,Vanguard International High Dividend Yield ETF,Vanguard,4.0%,B,0.07%,21740M,206%,NO,2/25/2016,Quarterly,A
SCHP,Schwab U.S. TIPS ETF,Schwab,3.2%,B,0.03%,16081M,52%,NO,8/5/2010,Monthly,A
SCHG,Schwab U.S. Growth ETF,Schwab,0.4%,A,0.04%,62300M,1167%,NO,12/11/2009,Quarterly,A-
RYLD,Global X Russell 2000 Covered Call ETF,Global X,12.2%,B,0.60%,1360M,52%,YES,4/17/2019,Monthly,C+
QYLD,Global X Nasdaq 100 Covered Call ETF,Global X,12.4%,B,0.60%,8300M,194%,YES,12/12/2013,Monthly,C+
JEPI,JPMorgan Equity Premium Income ETF,JP Morgan,7.5%,C,0.35%,46261M,93%,NO,5/20/2020,Monthly,A
JEPQ,JPMorgan NASDAQ Equity Premium Income ETF,JP Morgan,11.7%,C,0.35%,41810M,89%,NO,5/3/2022,Monthly,A
MAXI,Simplify Bitcoin Strategy PLUS Income ETF,Simplify,9.0%,C,1.00%,34M,194%,YES,9/29/2022,Monthly,C+
BLOX,Nicholas Crypto Income ETF,XFunds,36.0%,B,0.99%,283M,12%,YES,6/17/2025,Weekly,B+
GIAX,Nicholas Global Equity and Income ETF,XFunds,24.0%,B,1.03%,108M,32%,YES,7/29/2024,Weekly,C+
SVOL,Simplify Volatility Premium ETF,Simplify,20.0%,C,0.66%,534M,60%,YES,5/12/2021,Monthly,C-
BITO,ProShares Bitcoin ETF,ProShares,61.0%,C,0.95%,1720M,-5%,YES,10/18/2021,Monthly,C-
KQQQ,Kurv Technology Titans Select ETF,Kurv,14.00%,A,1.12%,125M,47%,NO,7/22/2024,Monthly,A-
FEPI,REX FANG & Innovation Equity Premium Income ETF,REX,25.2%,B,0.65%,690M,67%,YES,10/9/2023,Weekly,B+
AIPI,REX AI Equity Premium Income ETF,REX,34.8%,B,0.65%,434M,54%,YES,6/4/2024,Weekly,B-
CEPI,REX Crypto Equity Premium Income ETF,REX,42.6%,B,0.85%,113M,23%,YES,12/4/2024,Weekly,B-
NVII,REX NVDA Growth & Income ETF,REX,34%,B,0.99%,112M,69%,YES,5/28/2025,Weekly,b
TSII,REX TSLA Growth And Income ETF,REX,46%,B,0.99%,31M,9%,YES,6/4/2025,Weekly,C
WMTI ,REX WMT Growth And Income ETF,REX,19%,B,0.99%,13M,1%,YES,11/4/2025,Weekly,B-
ULTI,REX IncomeMax Option Strategy ET,REX,67%,A,1.25%,21M,-54%,YES,10/31/2025,Weekly,C+
GPIQ,Goldman Sachs Nasdaq-100 Premium Income ETF,Goldman Sachs,10.0%,C,0.29%,5440M,96%,NO,10/24/2023,Monthly,A
TSPY,TappAlpha S&P 500 Growth & Daily Income ETF,TappAlpha,14.2%,B,0.99%,321M,37%,NO,8/14/2024,Monthly,B+
TDAQ,TappAlpha Innovation 100 Growth & Daily Income ETF,TappAlpha,17.4%,B,0.68%,328M,25%,NO,9/4/2025,Monthly,B+
SPYT,Defiance S&P 500 Income Target ETF,Defiance,21.0%,C,0.87%,159M,42%,YES,3/7/2024,Monthly,B-
ISPY,ProShares S&P 500 High Income ETF,ProShares,10.0%,C,0.56%,1220M,53%,NO,12/18/2023,Monthly,B+
KGLD,Kurv Gold Enhanced Income ETF,Kurv,15.6%,B,1.00%,151M,28%,NO,7/8/2025,Monthly,B+
TSYX,TappAlpha TSPY LIFT ETF,TappAlpha,20%,A,0.98%,17M,8%,YES,1/7/2025,Weekly,C+
TDAX, TappAlpha TDAQ LIFT ETF,TappAlpha,20%,B,0.98%,61M,23%,YES,1/7/2026,Weekly,C+
FTHI,First Trust BuyWrite Income ETF,First Trust,9.0%,B,0.76%,2490M,156%,NO,1/6/2014,Monthly,C+
BUYW,Main BuyWrite ETF,Main Managment,6.0%,B,0.99%,1350M,45%,NO,12/29/2015,Monthly,C+
XLEI,State Street Energy Select Sector SPDR Premium Income ETF ,State Street,21.0%,B,0.35%,73M,41%,NO,7/29/2025,Monthly,B-
XLKI,State Street Technology Select Sector SPDR Premium Income ETF,State Street,19.0%,B,0.35%,16M,31%,NO,7/29/2025,Monthly,B-
KNG,FT Vest S&P 500 Dividend Aristocrats Target Income ETF,First Trust,8%,B,0.74%,3480M,105%,NO,3/26/2018,Monthly,B-
OVL,Overlay Shares Large Cap Equity ETF,Liquid Strategies,10.5%,B,0.79%,437M,202%,NO,9/30/2019,Monthly,A+
KHPI,Kensington Hedged Premium Income ETF,Kensington,9.0%,B,0.96%,426M,24%,NO,9/3/2024,Monthly,B-
VOO,Vanguard S&P 500 ETF,Vanguard,1.1%,A,0.03%,1040000M,823%,NO,9/7/2010,Quarterly,A+
QDPL,Pacer Metaurus US Large Cap Dividend Multiplier 400 ETF,Pacer ETFs,5.18%,B,0.60%,1810M,79%,NO,6/12/2021,Monthly,A
QSIX,Pacer Metaurus Nasdaq 100 Dividend Multiplier 600 ETF,Pacer ETFs,4.65%,B,0.60%,18M,42%,NO,7/12/2021,Monthly,A
TYLG,Information Technology Covered Call & Growth ETF,Global X,11.0%,B,0.60%,15M,137%,NO,11/21/2022,Monthly,B-
EGGY,NestYield Dynamic Income ETF,NestYield,37%,A,0.95%,158M,35%,YES,12/26/2024,Monthly,A-
EGGS,NestYield Total Return ETF,NestYield,24.00%,B,0.95%,58M,17%,YES,12/26/2024,Monthly,B+
ODTE,ODTE  VegaShares SPX NDX RTY Premium Income ETF,VegaShares,14.00%,B,0.76%,3M,7%,NO,4/2/2026,Weekly,B+
SPCI,Tuttle Capital Space Industry Income Blast ETF,Tuttle Capital,36%,B,0.99%,11M,-5%,YES,3/12/2026,Weekly,A-
VAIE,VegaShares US Equity Autocallable Income ETF,VegaShares,15%,B,0.74%,55M,2%,YES,5/11/2026,Weekly,A-
ROCY,JPMorgan Equity Premium Yield ETF,JP Morgan,8.0%,B,0.35%,601M,13%,NO,3/18/2026,Monthly,B
OVS,Overlay Shares Small Cap Equity ETF (OVS),Liquid Strategies,10.50%,B,0.83%,39M,116%,NO,9/30/2019,Monthly,A-
OVF,Overlay Shares Foreign Equity ETF (OVF),Liquid Strategies,10.40%,B,0.83%,62M,85%,NO,9/30/2019,Monthly,A-
ISBG,IncomeSTKd 1X Bitcoin & 1X Gold Premium ETF,Quantify Funds,17%,B,1.14%,8M,-29%,YES,1/20/2026,Weekly,C
ISSB,IncomeSTKd 1X US Stocks & 1X Bitcoin Premium ETF,Quantify Funds,17%,B,1.14%,2M,-1%,YES,1/20/2026,Weekly,C
TMGN,TappAlpha Cboe Magnificent 10 Growth & Daily Income ETF,TappAlpha,21%,B,0.88%,14M,8%,NO,7/15/2026,Monthly,B
SEPI,Shelton Equity Premium Income ETF,Shelton Capital,8.50%,B,0.54%,185M,24%,NO,9/8/2025,Monthly,B
SPUC,Simplify US Equity Income ETF,Simplify,12%,B,0.53%,239M,141%,NO,9/3/2020,Monthly,B
QVOL,Infrastructure Capital Nasdaq Option Income ETF,Infrastructure Capital,11.0%,B,0.82%,48M,3%,NO,5/12/2026,Monthly,B
VFLO,VictoryShares Free Cash Flow ETF,Victory Shares,1.3%,B,0.39%,1121M,128%,NO,8/7/2023,Monthly,B
FOXY,Simplify Currency Strategy ETF,Simplify,8.80%,C,0.81%,352M,24%,NO,2/3/2025,Monthly,B
DRMP ,Tuttle Capital Memory Stack Income Blast ETF,Tuttle Capital,32%,B,0.95%,6M,-22%,YES,6/10/2026,Weekly,B
MEMY,Tuttle Capital Meme Stock Income Blast ETF,Tuttle Capital,25.00%,B,0.99%,1M,-26%,YES,1/20/2026,Weekly,B
IACL,GraniteShares US 100 Autocallable Income ETF,GraniteShares,0%,B,0.55%,2M,0%,NO,8/18/2026,Monthly,B
PDI,PIMCO Dynamic Income Fund ,Pimco,16.10%,C,1.10%,7500M,252%,YES,5/25/2012,Monthly,B
PTY,PIMCO Corporate & Income Opportunity Fund ,Pimco,11.96%,C,1.27%,2500M,990%,YES,12/27/2002,Monthly,B
AMZP,Kurv Yield Premium Strategy Amazon ETF,Kurv,15.50%,A,0.99%,18M,74%,YES,10/31/2023,Monthly,C+
BIGY,YieldMax® Target 12™ Big 50 Option Income ETF,YieldMax,12%,B,1.09%,45M,29%,NO,10/20/2024,Monthly,B-
FTQI,First Trust Nasdaq BuyWrite Income ETF,First Trust,11%,B,0.75%,961M,140%,NO,1/6/2014,Monthly,A-
JPIE,JPMorgan Income ETF,JP Morgan,7%,C,0.39%,10660M,17%,YES,10/28/2021,Monthly,B-
OVB,Overlay Shares Core Bond ETF,Liquid Strategies,6.11%,C,0.79%,48M,11%,YES,9/30/2019,Monthly,C+
OVM,Overlay Shares Municipal Bond ETF,Liquid Strategies,5.14%,A,0.81%,45M,16%,YES,9/30/2019,Monthly,C
OVT,Overlay Shares Short Term Bond ETF,Liquid Strategies,6.35%,C,0.79%,61M,17%,YES,1/14/2021,Monthly,C
RDVI,FT Vest Rising Dividend Achievers Target Income ETF,First Trust,7.96%,B,0.75%,3740M,103%,NO,10/19/2022,Monthly,A-
RNTY,YieldMax® Target 12™ Real Estate Option Income ETF,YieldMax,12.03%,C,0.99%,6M,9%,YES,4/16/2025,Monthly,C
SGOV,iShares 0-3 Month Treasury Bond ETF,iShares,3.50%,C,0.09%,10718M,20%,NO,5/26/2020,Monthly,A
SPHY,State Street SPDR Portfolio High Yield Bond ETF,State Street,7.54%,D,0.05%,12050M,97%,YES,6/18/2012,Monthly,B
TPRY,VistaShares Target 15™ TEPRTantrum Contrarian Distribution ETF,VistaShares,15.02%,B,0.95%,5M,1%,YES,2/26/2026,Monthly,C-
TDVI,FT Vest Technology Dividend Target Income ETF,First Trust,7.50%,B,0.75%,576M,104%,NO,8/9/2023,Monthly,B+
EGGQ,NestYield Visionary ETF,NestYield,9.50%,B,0.95%,81M,43%,NO,12/26/2024,Monthly,B
VOOY,XFUNDS Large Cap Income ETF,XFunds,0%,B,0.75%,2.6M,-1%,YES,8/31/2026,Monthly,B
WRTH,Worth Charting Options Income ETF ,Worth Charting Group,9.0%,B,1.02%,71M,5%,NO,4/27/2026,Monthly,B
SEPQ,STF Tactical Growth & Income ETF,Shelton Capital,11%,B,0.65%,80M,81%,NO,5/18/2022,Monthly,B
